暫定ID,タイトル,ステージ,難易度,書誌URL,1ページ目URL,コマ数,請求番号,文書番号,コンテンツデータURL,主題別,資料種別,災害種別,災害名（地震・津波）,画像データ有無,コレクション名1,タイトル,タイトル（かな）,頁数,大きさ,出版社等,出版年（西暦年月日）,キーワード,備考,刊行方式,地域,請求番号,文書番号,ID,緯度,経度,緯度2,経度2,著者等,災害年（和暦年月日）,災害年（西暦年月日）,災害年（西暦年月日）データ,災害年（西暦年月日）終了,災害年（西暦年月日）終了データ,地名,災害名（火山）,既刊史料集,所蔵元
L000143,関東大地震焼場所附,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000143,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003348.jpg,1,01.005-1,400-4,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000143,01.地震04.火事,04.災害絵地図,01.地震・津波,,有,01.和古書類,関東大地震焼場所附,かんとうおおじしんやけばしょづけ,1,44.8×60.4（折畳：25.3×15.3）,,,,一枚物　1鋪　安政江戸地震の類焼場所についての瓦版　絵図あり,木版,15.東京,01.005-1,400-4,L000143,35.689488,139.691706,35.689488,139.691706,,安政2年10月2日,,,,,江戸一帯,,,東京大学地震研究所図書室
L000144,[安政三年八月の江戸大火・洪水に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000144,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003349.jpg,1,01.005-1,400-5,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000144,04.火事05.洪水,02.古文書,,,有,01.和古書類,[安政三年八月の江戸大火・洪水に関する瓦版],[あんせいさんねんはちがつのえどたいか・こうずいにかんするかわらばん],1,23.2×65.4（折畳：23.2×16.4）,,,,一枚物　1鋪　安政3年8月25日の洪水・火事についての瓦版　絵図あり　文書番号2022，2147と同じ,木版,15.東京,01.005-1,400-5,L000144,35.689488,139.691706,35.689488,139.691706,,安政3年8月25日,,,,,品川宿・芝浦・金杉・下谷（ほか）,,,東京大学地震研究所図書室
L000145,焼場方角明細圖,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000145,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003350.jpg,1,01.005-1,400-6,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000145,04.火事,04.災害絵地図,,,有,01.和古書類,焼場方角明細圖,やけばほうがくめいさいず,1,33.0×69.0（折畳：25.1×17.4）,,,,一枚物　1鋪　安政5年11月15日江戸の火事の類焼場所についての瓦版　「廿五日改」とあり　絵図あり,木版（多色刷）,15.東京,01.005-1,400-6,L000145,35.69169,139.770883,35.682413,139.773919,,安政5年11月15日,,,,,（神田から日本橋一帯）,,,東京大学地震研究所図書室
L000146,焼場方角附,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000146,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003351.jpg,1,01.005-1,400-7,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000146,04.火事,04.災害絵地図,,,有,01.和古書類,焼場方角附,やけばほうがくづけ,1,30.5×44.8（折畳：18.2×11.3）,,,,一枚物　1紙　元治元年3月13日江戸の火事の類焼場所についての瓦版　絵図あり　文書番号1790と同じ　,木版,15.東京,01.005-1,400-7,L000146,35.689488,139.691706,35.689488,139.691706,,元治元年3月13日,,,,,日本橋・神田一帯　絵図あり,,,東京大学地震研究所図書室
L000147,[慶応二年十一月の江戸大火に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000147,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003352.jpg,1,01.005-1,400-8,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000147,04.火事,04.災害絵地図,,,有,01.和古書類,[慶応二年十一月の江戸大火に関する瓦版],[けいおうにねんじゅういちがつのえどたいかにかんするかわらばん],1,31.4×80.3（折畳：25.0×17.1）,,,,一枚物　1鋪　慶応2年11月9日江戸の火事の類焼場所についての瓦版　絵図あり　文書番号2016と同じ,木版,15.東京,01.005-1,400-8,L000147,35.689488,139.691706,35.689488,139.691706,,慶応2年11月9日,,,,,日本橋・築地一帯,,,東京大学地震研究所図書室
L000148,土佐古今ノ地震,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000148,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/013/000013090.jpg,53,01.005-1,615,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000148,01.地震03.津波06.暴風雨,03.文書,01.地震・津波,"134.宝永地震（宝永4年10月4日）［1707年10月28日］237.238.安政東南海地震（安政元年11月4,5日）[1854年12月23,24日]",有,01.和古書類,土佐古今ノ地震,とさここんのじしん,51（含表紙）,18.7×12.7,土佐史談會（高知公園懐徳舘内）,1923,,1冊　土佐における地震・大暴風雨についてまとめたもの　蔵書印あり（地震研究所図書）,活字版,50.高知（土佐）,01.005-1,615,L000148,,,,,寺石正路（高知市南新町四十四番邸）,天武天皇13年 / 慶長9年12月16日 / 宝永4年10月4日 / 安政元年11月5日 / 明治32年8月28日,,,,,,,,東京大学地震研究所図書室
L000149,河内摂津大洪水細見圖,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000149,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003353.jpg,1,01.005-2,754,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000149,05.洪水,04.災害絵地図,,,有,01.和古書類,河内摂津大洪水細見圖,かわちせっつだいこうずいさいけんず,1,66.0×51.2（折畳：22.3×12.8）,大阪府平民　山本壽一郎（北区若松町三十七番地）　編輯兼出版,1885,,一枚物　1鋪　明治18年6月大阪の洪水についての瓦版　詞書があるが破損により一部文字欠　絵図あり　蔵書印あり（東京図書館蔵）,木版（多色刷）,33.大阪（摂津．和泉．河内）,01.005-2,754,L000149,34.69606,135.512617,34.69606,135.512617,大阪府平民 山本壽一郎（北区若松町三十七番地） 編輯兼出版,明治18年6月17日,18850617,18850617,18850617,18850617,（天満宮付近）北：枚方　南：天王寺・難波倉・今宮・木津　東：渋川郡　西：海老江・冨嶋・九條村,,,東京大学地震研究所図書室
L000150,大洪水細見之圖　第貮號本しらべ,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000150,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003354.jpg,1,01.005-2,755,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000150,05.洪水,04.災害絵地図,,,有,01.和古書類,大洪水細見之圖　第貮號本しらべ,だいこうずいさいけんのず　だいにごうほんしらべ,1,49.5×66.3（折畳：25.1×16.9）,京都府士族　黒田一知（大坂南区順慶町一丁目十五番地寄留）　編輯兼出版人,1885,,一枚物　1鋪　明治18年6月大阪の洪水についての瓦版　絵図あり（色刷（赤青二色））　蔵書印あり（東京図書館蔵）,木版（色刷）,33.大阪（摂津．和泉．河内）,01.005-2,755,L000150,34.69606,135.512617,34.69606,135.512617,京都府士族 黒田一知（大坂南区順慶町一丁目十五番地寄留） 編輯兼出版,明治18年6月17日,18850617,18850617,18850617,18850617,（天満宮付近）北：淀川・枚方　南：渋川郡・天王寺村・廣田今宮　東：讃良郡　西：四貫島,,,東京大学地震研究所図書室
L000151,[善光寺地震に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000151,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003355.jpg,1,01.005-2,756-1,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000151,01.地震05.洪水,04.災害絵地図,01.地震・津波,228.善光寺地震（弘化4年3月24日）［1847年5月8日］,有,01.和古書類,[善光寺地震に関する瓦版],[ぜんこうじじしんにかんするかわらばん],1,39.5×84.4（折畳：25.4×21.3）,,,,一枚物　1鋪　絵図あり,木版（多色刷）,25.長野（信濃）,01.005-2,756-1,L000151,36.661594,138.188588,36.661594,138.188588,,弘化4年3月24日,,,,,（善光寺周辺）北：野尻・戸狩　南：上田　東：高井山・鳥折峠　西：虫倉山,,,東京大学地震研究所図書室
L000153,安政二卯十月二日　御江戸大地震大破并出火類焼場等書上之写,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000153,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/010/000010046.jpg,12,01.005-2,758,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000153,01.地震04.火事,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,安政二卯十月二日　御江戸大地震大破并出火類焼場等書上之写,あんせいにうのじゅうがつふつか　おえどおおじしんたいはならびにしゅっかるいしょうばとうかきあげうつし,9（除表紙）,22.0×15.3,要石堂施板,,,和綴　1冊　安政江戸地震についての瓦版　「再々改　年代記抜書地震之部加之」とあり　文書番号2541，地震学教室57と同一,木版,15.東京,01.005-2,758,L000153,35.689488,139.691706,35.689488,139.691706,,安政2年,,,,,江戸,,,東京大学地震研究所図書室
L000154,江戸大地震末代鑑,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000154,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/010/000010058.jpg,23,01.005-2,759,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000154,01.地震04.火事11.その他,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,江戸大地震末代鑑,えどおおじしんまつだいかがみ,22（含表紙）,17.5×11.8,,,,和綴　1冊　内題：地震末代かがみ　安政江戸地震についての瓦版　彩色入り（表紙・表紙裏のみ）　地震被害書上・個人などの施行者のリスト　絵図あり　蔵書印あり（印文不明）,木版,15.東京,01.005-2,759,L000154,35.689488,139.691706,35.689488,139.691706,,安政2年,,,,,江戸,,,東京大学地震研究所図書室
L000156,地震並出火細見記,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000156,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/010/000010081.jpg,13,01.005-2,1071,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000156,01.地震04.火事,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,地震並出火細見記,じしんならびにしゅっかさいけんき,11（含表紙）,17.5×11.8,,1855,,和綴　1冊　安政江戸地震についての瓦版　色刷（表紙のみ多色刷）　絵図あり,木版,15.東京,01.005-2,1071,L000156,,,,,石野美満子 編,安政2年,,,,,江戸,,,東京大学地震研究所図書室
L000157,本朝地震記　全,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000157,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/013/000013143.jpg,20,01.005-2,1072,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000157,01.地震,02.古文書,01.地震・津波,,有,01.和古書類,本朝地震記　全,ほんちょうじしんき　ぜん,19（含表紙）,18.5×12.9,,,編年史料,和綴　1冊　文政寅年（文政13年）7月2日京都地震および神武天皇より京都地震までの地震年代記　絵図あり　蔵書印あり（地震研究所図書）　文書番号石本文庫28，2161，（ID）L001158と同一,木版,32.京都（山城．丹波．丹後）,01.005-2,1072,L000157,,,,,平安城 豊時成 編,文政13（天保元）年7月2日,,,,,,,,東京大学地震研究所図書室
L000160,江戸御屋鋪方町方共　地震類焼場所巨細書之寫　潰家潰土蔵共取調附街道筋近在迄,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000160,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/013/000013163.jpg,16,01.005-4,1075,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000160,01.地震04.火事,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,江戸御屋鋪方町方共　地震類焼場所巨細書之寫　潰家潰土蔵共取調附街道筋近在迄,えどおやしきかたまちかたとも　じしんるいしょうばしょこさいしょのうつし　つぶれやつぶれとぞうともとりしらべつけたりかいどうすじきんざいまで,8（含表紙）,11.5×30.5,,,,和綴　1冊　安政江戸地震についての瓦版、江戸周辺の被害書上、「禁売鬻」とあり　朱印あり（印文不詳、蔵書印か不明）,木版,15.東京,01.005-4,1075,L000160,,,,,,安政2年,,,,,江戸,,,東京大学地震研究所図書室
L000162,[善光寺地震に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000162,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/013/000013178.jpg,1,01.005-4,1775,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000162,01.地震04.火事05.洪水,04.災害絵地図,01.地震・津波,228.善光寺地震（弘化4年3月24日）［1847年5月8日］,有,01.和古書類,[善光寺地震に関する瓦版],[ぜんこうじじしんにかんするかわらばん],1,36.0×47.0（折畳：18.0×11.8）,,,,一枚物　1紙　善光寺地震についての瓦版　絵図あり,木版,25.長野（信濃）,01.005-4,1775,L000162,,,,,,弘化4年,,,,,北：善光寺・明老山　南：松本・上田　東：飯山・中野　西：松本,,,東京大学地震研究所図書室
L000163,文政十二丑としの類焼場所附,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000163,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/010/000010094.jpg,19,01.005-4,1778,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000163,04.火事,02.古文書,,,有,01.和古書類,文政十二丑としの類焼場所附,ぶんせいじゅうにうしのとしのるいしょうばしょづけ,17（除表紙）,25.0×17.2,,1829,,和綴　1冊　文政12年3月21日の江戸大火について、主に武家屋敷の被害が中心、瓦版の写　蔵書印あり（地震研究所図書）,筆写本,15.東京,01.005-4,1778,L000163,35.689488,139.691706,35.689488,139.691706,,文政12年,,,,,江戸,,,東京大学地震研究所図書室
L000168,安政三年辰八月廿五日夜　大江都御屋敷方寺社市中共　大嵐水入場所明細書之寫　并街道筋近郷聞書,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000168,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/013/000013180.jpg,16,01.005-4,1783,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000168,05.洪水06.暴風雨,02.古文書,,,有,01.和古書類,安政三年辰八月廿五日夜　大江都御屋敷方寺社市中共　大嵐水入場所明細書之寫　并街道筋近郷聞書,あんせいさんねんたつのはちがつにじゅうごにちよる　おおえどおやしきかたじしゃしちゅうとも　おおあらしみずいりばしょめいさいがきのうつし　ならびにかいどうすじきんごうききがき,8（含表紙）,11.9×31.0,,1856,,和綴　1冊　安政3年8月25日江戸大暴風雨についての瓦版　絵図あり　「禁賣買」とあり,木版,15.東京,01.005-4,1783,L000168,35.689488,139.691706,35.689488,139.691706,,安政3年,,,,,江戸,,,東京大学地震研究所図書室
L000169,信越地震水記　全,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000169,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/024/000024591.jpg,81,01.006-2,1784,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000169,01.地震04.火事05.洪水,02.古文書,01.地震・津波,228.善光寺地震（弘化4年3月24日）［1847年5月8日］,有,01.和古書類,信越地震水記　全,しんえつじしんすいき　ぜん,80（含表紙）,23.4×16.5,,,,和綴　1冊　善光寺地震に関する諸藩届出の写　絵図あり,筆写本,25.長野（信濃）,01.006-2,1784,L000169,,,,,,弘化4年,,,,,,,,東京大学地震研究所図書室
L000170,焼場方角附,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000170,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003356.jpg,1,01.006-1,1785,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000170,04.火事,04.災害絵地図,,,有,01.和古書類,焼場方角附,やけばほうがくづけ,1,28.6×111.1（折畳：21.9×14.0）,,,,一枚物　1鋪　慶応2年11月4日（本所深川）、同11月9日（神田新茅場町）、同11月11日（吉原）の火事についての瓦版　絵図あり,木版,15.東京,01.006-1,1785,L000170,35.69169,139.770883,35.67747,139.796823,,慶応2年11月4日,,,,,本所深川・吉原・神田,,,東京大学地震研究所図書室
L000171,出火場道しらべ,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000171,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003357.jpg,1,01.006-1,1786,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000171,04.火事,02.古文書,,,有,01.和古書類,出火場道しらべ,しゅっかばみちしらべ,1,23.1×62.0（折畳：23.1×15.5）,,,,1枚物　1鋪　寛政9年11月22日江戸火災についての瓦版,木版,15.東京,01.006-1,1786,L000171,35.689488,139.691706,35.689488,139.691706,,寛政9年11月22日,,,,,江戸,,,東京大学地震研究所図書室
L000172,[安政二年三月の江戸大火に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000172,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003358.jpg,1,01.006-1,1787,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000172,04.火事,04.災害絵地図,,,有,01.和古書類,[安政二年三月の江戸大火に関する瓦版],[あんせいにねんさんがつのえどたいかにかんするかわらばん],1,21.8×55.1（折畳：21.8×14.0）,,,,一枚物　1鋪　安政2年3月1日江戸大火についての瓦版　絵図あり,木版,15.東京,01.006-1,1787,L000172,35.561257,139.716051,35.561257,139.716051,,安政2年3月1日,,,,,北：瓦町　南：あらめ橋　東：両国橋　西：御ぐんだいやしき,,,東京大学地震研究所図書室
L000173,京都近世大火畧圖,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000173,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003359.jpg,1,01.006-1,1788,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000173,04.火事,04.災害絵地図,,,有,01.和古書類,京都近世大火畧圖,きょうときんせいたいかりゃくず,1,37.8×104.0（折畳：25.1×22.0）,,1864,,一枚物　1鋪　［京全体の火事］・下京大火・伏見出火・［上京の火事］についての瓦版　絵図あり　天暦四年～安政二年の京都大火も列挙する,木版（多色刷）,32.京都（山城．丹波．丹後）,01.006-1,1788,L000173,34.987655,135.755533,34.987655,135.755533,,安政5年6月4日,,,,,,,,東京大学地震研究所図書室
L000174,文久三亥年十一月廿一日出火　大阪大火細見　本しらべ,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000174,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003360.jpg,1,01.006-1,1789,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000174,04.火事,04.災害絵地図,,,有,01.和古書類,文久三亥年十一月廿一日出火　大阪大火細見　本しらべ,ぶんきゅうさんいのとしじゅういちがつにじゅういちにちしゅっか　おおさかたいかさいけん　ほんしらべ,1,37.5×51.4（折畳：20.2×13.0）,,,,一枚物　1紙　文久3年11月21日大坂大火についての瓦版　絵図あり,木版（色刷）,33.大阪（摂津．和泉．河内）,01.006-1,1789,L000174,34.681828,135.51037,34.674057　135.527363,135.527363,,文久3年11月21日,,,,,大坂城南西一帯（北：大阪城　南：真田山・いっこく橋・さのや橋　東：子コマ川　西：西横堀）,,,東京大学地震研究所図書室
L000176,方角繪圖面,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000176,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003361.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000176,04.火事,04.災害絵地図,,,有,01.和古書類,方角繪圖面,ほうがくえずめん,1,31.5×44.3（折畳：18.1×11.1）,,,,一枚物　1紙　天保5年2月7日外神田佐久間町から出火した同11日までの火事についての瓦版　絵図あり,木版,15.東京,01.006-1,1791,L000176,35.669477,139.762124,35.696123,139.792515,,天保5年2月7日,,,,,数寄屋橋から両国橋一帯（北：いづみ橋　南：せんだい（藩屋敷）　東：（佃島）　西：（江戸城堀）,,,東京大学地震研究所図書室
L000177,[安政五年二月の江戸大火に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000177,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003362.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000177,04.火事,04.災害絵地図,,,有,01.和古書類,[安政五年二月の江戸大火に関する瓦版],[あんせいごねんにがつのえどたいかにかんするかわらばん],1,30.1×43.8（折畳：20.2×11.1）,,,,一枚物　1紙　安政5年2月10日日本橋小田原町より出火の火事についての瓦版　絵図あり,木版,15.東京,01.006-1,1792,L000177,35.682413,139.773919,35.674617,139.777705,,安政5年2月10日,,,,,日本橋・八丁堀周辺（北：日本橋小田原町　南：佃じま　東：小あみ町　西：堀□□サマ,,,東京大学地震研究所図書室
L000178,御江戸關八州　大地震出火巨細記,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000178,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003363.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000178,01.地震04.火事,02.古文書,,228.善光寺地震（弘化4年3月24日）［1847年5月8日］,有,01.和古書類,御江戸關八州　大地震出火巨細記,おえどかんはっしゅう　おおじしんしゅっかこさいき,1,34.8×116.0（折畳：25.1×19.4）,坐石堂寿 鐫,,,一枚物　1鋪　安政江戸地震の江戸での被害を場所ごとに9つに分けて記した瓦版　絵図あり　「諸国へ無事を知さんが為もより分ケ衆く志るす」とあり　「禁賣」とあり,木版,15.東京,01.006-1,1793,L000178,35.689488,139.691706,35.689488,139.691706,,安政2年10月2日,,,,,（江戸）,,,東京大学地震研究所図書室
L000179,火後憶得詩,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000179,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/013/000013196.jpg,14,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000179,01.地震11.その他,02.古文書,01.地震・津波,228.善光寺地震（弘化4年3月24日）［1847年5月8日］,有,01.和古書類,火後憶得詩,かごおくとくし,13（含表紙）,25.8×17.6,玉池?社蔵梓,1859,,和綴　1冊　別題：湖山樓詩藁（淡海　横山巻　舒公）　災害などを詠んだ漢詩集　安政戊午（5年）除夕前一日鷲津宣安による識語あり,木版,25.長野（信濃）,01.006-2,1802,L000179,,,,,小野湖山,弘化4年,,,,,,,,東京大学地震研究所図書室
L000180,[嘉永三年二月の江戸大火に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000180,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003364.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000180,04.火事,04.災害絵地図,,,有,01.和古書類,[嘉永三年二月の江戸大火に関する瓦版],[かえいさんねんにがつのえどたいかにかんするかわらばん],1,35.0×45.7（折畳：20.3×45.7）,,,,一枚物　1紙　嘉永3年2月5日江戸の火事の類焼場所についての瓦版　絵図あり,木版,15.東京,01.006-3,1803,L000180,35.684245,139.738463,35.655646,139.756749,,嘉永3年2月5日,,,,,（麹町～新橋・浜松町方面一帯）,,,東京大学地震研究所図書室
L000181,[安政江戸地震に関する瓦版],2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000181,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/003/000003365.jpg,1,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000181,01.地震04.火事,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,[安政江戸地震に関する瓦版],[あんせいえどじしんにかんするかわらばん],1,37.3×51.6（折畳：21.2×13.0）,,,,一枚物　1紙　安政江戸地震についての瓦版　絵図あり,木版,15.東京,01.006-3,1836,L000181,35.689488,139.691706,35.689488,139.691706,,安政2年10月2日,,,,,江戸,,,東京大学地震研究所図書室
L000183,大地震焼場細見記,2,,http://wwweic.eri.u-tokyo.ac.jp/dl/meta_pub/G0000002erilib_L000183,http://wwweic.eri.u-tokyo.ac.jp/dl/cont/01/G0000002erilib/000/010/000010113.jpg,21,,,http://wwweic.eri.u-tokyo.ac.jp/dl/contents/api_contents?IS_DBID=G0000002erilib&amp;IS_RKEY_1=L000183,01.地震04.火事,02.古文書,01.地震・津波,245.安政江戸地震（安政2年10月2日）［1855年11月11日］,有,01.和古書類,大地震焼場細見記,おおじしんやけばさいけんき,17（除表紙）,17.5×11.9,地震板元,,,和綴　1冊　安政江戸地震の被害に関する瓦版　10月5日頃の江戸諸色値段の記述あり　絵図あり　元の裏表紙に「藤昌亮ヵ」という墨書あり　蔵書印あり（「藤氏」ヵ）,木版,15.東京,01.006-2,1838,L000183,,,,,,安政2年10月2日,,,,,江戸,,,東京大学地震研究所図書室
